lat,lon,date,sst_value_celsius,source_satellite,quality_flag
14.0,84.0,2026-09-02,28.81,Copernicus_CMEMS,1
8.0,78.0,2026-09-03,29.18,Copernicus_CMEMS,1
8.0,79.5,2026-09-03,29.07,Copernicus_CMEMS,1
8.0,81.0,2026-09-03,29.2,Copernicus_CMEMS,1
8.0,82.5,2026-09-03,29.09,Copernicus_CMEMS,1
8.0,84.0,2026-09-03,28.54,Copernicus_CMEMS,1
9.5,78.0,2026-09-03,28.8,Copernicus_CMEMS,1
9.5,79.5,2026-09-03,29.23,Copernicus_CMEMS,1
9.5,81.0,2026-09-03,29.16,Copernicus_CMEMS,1
9.5,82.5,2026-09-03,28.95,Copernicus_CMEMS,1
9.5,84.0,2026-09-03,28.59,Copernicus_CMEMS,1
11.0,78.0,2026-09-03,29.2,Copernicus_CMEMS,1
11.0,79.5,2026-09-03,29.15,Copernicus_CMEMS,1
11.0,81.0,2026-09-03,29.33,Copernicus_CMEMS,1
11.0,82.5,2026-09-03,28.66,Copernicus_CMEMS,1
11.0,84.0,2026-09-03,29.23,Copernicus_CMEMS,1
12.5,78.0,2026-09-03,29.05,Copernicus_CMEMS,1
12.5,79.5,2026-09-03,29.16,Copernicus_CMEMS,1
12.5,81.0,2026-09-03,29.41,Copernicus_CMEMS,1
12.5,82.5,2026-09-03,29.39,Copernicus_CMEMS,1
12.5,84.0,2026-09-03,29.29,Copernicus_CMEMS,1
14.0,78.0,2026-09-03,29.16,Copernicus_CMEMS,1
14.0,79.5,2026-09-03,28.9,Copernicus_CMEMS,1
14.0,81.0,2026-09-03,29.15,Copernicus_CMEMS,1
14.0,82.5,2026-09-03,29.17,Copernicus_CMEMS,1
14.0,84.0,2026-09-03,28.83,Copernicus_CMEMS,1
8.0,78.0,2026-09-04,28.89,Copernicus_CMEMS,1
8.0,79.5,2026-09-04,28.76,Copernicus_CMEMS,1
8.0,81.0,2026-09-04,29.0,Copernicus_CMEMS,1
8.0,82.5,2026-09-04,29.15,Copernicus_CMEMS,1
8.0,84.0,2026-09-04,28.98,Copernicus_CMEMS,1
9.5,78.0,2026-09-04,28.99,Copernicus_CMEMS,1
9.5,79.5,2026-09-04,29.23,Copernicus_CMEMS,1
9.5,81.0,2026-09-04,29.19,Copernicus_CMEMS,1
9.5,82.5,2026-09-04,28.79,Copernicus_CMEMS,1
9.5,84.0,2026-09-04,29.13,Copernicus_CMEMS,1
11.0,78.0,2026-09-04,29.42,Copernicus_CMEMS,1
11.0,79.5,2026-09-04,29.26,Copernicus_CMEMS,1
11.0,81.0,2026-09-04,28.97,Copernicus_CMEMS,1
11.0,82.5,2026-09-04,28.7,Copernicus_CMEMS,1
11.0,84.0,2026-09-04,29.27,Copernicus_CMEMS,1
12.5,78.0,2026-09-04,29.11,Copernicus_CMEMS,1
12.5,79.5,2026-09-04,29.07,Copernicus_CMEMS,1
12.5,81.0,2026-09-04,29.24,Copernicus_CMEMS,1
12.5,82.5,2026-09-04,29.18,Copernicus_CMEMS,1
12.5,84.0,2026-09-04,28.9,Copernicus_CMEMS,1
14.0,78.0,2026-09-04,29.41,Copernicus_CMEMS,1
14.0,79.5,2026-09-04,29.49,Copernicus_CMEMS,1
14.0,81.0,2026-09-04,29.47,Copernicus_CMEMS,1
14.0,82.5,2026-09-04,29.52,Copernicus_CMEMS,1
14.0,84.0,2026-09-04,29.24,Copernicus_CMEMS,1
8.0,78.0,2026-09-05,28.99,Copernicus_CMEMS,1
8.0,79.5,2026-09-05,29.01,Copernicus_CMEMS,1
8.0,81.0,2026-09-05,28.86,Copernicus_CMEMS,1
8.0,82.5,2026-09-05,28.94,Copernicus_CMEMS,1
8.0,84.0,2026-09-05,28.94,Copernicus_CMEMS,1
9.5,78.0,2026-09-05,28.95,Copernicus_CMEMS,1
9.5,79.5,2026-09-05,28.67,Copernicus_CMEMS,1
9.5,81.0,2026-09-05,28.86,Copernicus_CMEMS,1
9.5,82.5,2026-09-05,28.69,Copernicus_CMEMS,1
9.5,84.0,2026-09-05,28.9,Copernicus_CMEMS,1
11.0,78.0,2026-09-05,29.38,Copernicus_CMEMS,1
11.0,79.5,2026-09-05,29.14,Copernicus_CMEMS,1
11.0,81.0,2026-09-05,29.32,Copernicus_CMEMS,1
11.0,82.5,2026-09-05,28.66,Copernicus_CMEMS,1
11.0,84.0,2026-09-05,29.43,Copernicus_CMEMS,1
12.5,78.0,2026-09-05,28.8,Copernicus_CMEMS,1
12.5,79.5,2026-09-05,29.32,Copernicus_CMEMS,1
12.5,81.0,2026-09-05,29.05,Copernicus_CMEMS,1
12.5,82.5,2026-09-05,29.24,Copernicus_CMEMS,1
12.5,84.0,2026-09-05,29.29,Copernicus_CMEMS,1
14.0,78.0,2026-09-05,29.31,Copernicus_CMEMS,1
14.0,79.5,2026-09-05,29.22,Copernicus_CMEMS,1
14.0,81.0,2026-09-05,29.21,Copernicus_CMEMS,1
14.0,82.5,2026-09-05,29.3,Copernicus_CMEMS,1
14.0,84.0,2026-09-05,28.97,Copernicus_CMEMS,1
