lat,lon,date,chlorophyll_a_mg_m3,source_satellite,quality_flag
14.0,78.0,2026-09-01T00:00:00Z,0.309,ISRO_Oceansat2_OCM,1
14.0,80.0,2026-09-01T00:00:00Z,0.481,ISRO_Oceansat2_OCM,1
14.0,82.0,2026-09-01T00:00:00Z,0.367,ISRO_Oceansat2_OCM,1
14.0,84.0,2026-09-01T00:00:00Z,1.325,ISRO_Oceansat2_OCM,1
15.5,72.0,2026-09-01T00:00:00Z,1.237,ISRO_Oceansat2_OCM,1
15.5,74.0,2026-09-01T00:00:00Z,2.085,ISRO_Oceansat2_OCM,1
15.5,76.0,2026-09-01T00:00:00Z,0.46,ISRO_Oceansat2_OCM,1
15.5,78.0,2026-09-01T00:00:00Z,0.997,ISRO_Oceansat2_OCM,1
15.5,80.0,2026-09-01T00:00:00Z,0.282,ISRO_Oceansat2_OCM,1
15.5,82.0,2026-09-01T00:00:00Z,0.28,ISRO_Oceansat2_OCM,1
15.5,84.0,2026-09-01T00:00:00Z,0.565,ISRO_Oceansat2_OCM,1
17.0,72.0,2026-09-01T00:00:00Z,0.645,ISRO_Oceansat2_OCM,1
17.0,74.0,2026-09-01T00:00:00Z,0.558,ISRO_Oceansat2_OCM,1
17.0,76.0,2026-09-01T00:00:00Z,0.284,ISRO_Oceansat2_OCM,1
17.0,78.0,2026-09-01T00:00:00Z,0.816,ISRO_Oceansat2_OCM,1
17.0,80.0,2026-09-01T00:00:00Z,0.47,ISRO_Oceansat2_OCM,1
17.0,82.0,2026-09-01T00:00:00Z,0.485,ISRO_Oceansat2_OCM,1
17.0,84.0,2026-09-01T00:00:00Z,1.106,ISRO_Oceansat2_OCM,1
18.5,72.0,2026-09-01T00:00:00Z,0.569,ISRO_Oceansat2_OCM,1
18.5,74.0,2026-09-01T00:00:00Z,0.661,ISRO_Oceansat2_OCM,1
18.5,76.0,2026-09-01T00:00:00Z,0.912,ISRO_Oceansat2_OCM,1
18.5,78.0,2026-09-01T00:00:00Z,0.537,ISRO_Oceansat2_OCM,1
18.5,80.0,2026-09-01T00:00:00Z,0.821,ISRO_Oceansat2_OCM,1
18.5,82.0,2026-09-01T00:00:00Z,0.357,ISRO_Oceansat2_OCM,1
18.5,84.0,2026-09-01T00:00:00Z,0.366,ISRO_Oceansat2_OCM,1
8.0,72.0,2026-09-02T00:00:00Z,0.499,ISRO_Oceansat2_OCM,1
8.0,74.0,2026-09-02T00:00:00Z,0.377,ISRO_Oceansat2_OCM,1
8.0,76.0,2026-09-02T00:00:00Z,0.275,ISRO_Oceansat2_OCM,1
8.0,78.0,2026-09-02T00:00:00Z,0.313,ISRO_Oceansat2_OCM,1
8.0,80.0,2026-09-02T00:00:00Z,0.443,ISRO_Oceansat2_OCM,1
8.0,82.0,2026-09-02T00:00:00Z,0.58,ISRO_Oceansat2_OCM,1
8.0,84.0,2026-09-02T00:00:00Z,0.447,ISRO_Oceansat2_OCM,1
9.5,72.0,2026-09-02T00:00:00Z,0.267,ISRO_Oceansat2_OCM,1
9.5,74.0,2026-09-02T00:00:00Z,0.487,ISRO_Oceansat2_OCM,1
9.5,76.0,2026-09-02T00:00:00Z,0.414,ISRO_Oceansat2_OCM,1
9.5,78.0,2026-09-02T00:00:00Z,0.446,ISRO_Oceansat2_OCM,1
9.5,80.0,2026-09-02T00:00:00Z,0.55,ISRO_Oceansat2_OCM,1
9.5,82.0,2026-09-02T00:00:00Z,0.473,ISRO_Oceansat2_OCM,1
9.5,84.0,2026-09-02T00:00:00Z,0.3,ISRO_Oceansat2_OCM,1
11.0,72.0,2026-09-02T00:00:00Z,0.587,ISRO_Oceansat2_OCM,1
11.0,74.0,2026-09-02T00:00:00Z,0.405,ISRO_Oceansat2_OCM,1
11.0,76.0,2026-09-02T00:00:00Z,0.707,ISRO_Oceansat2_OCM,1
11.0,78.0,2026-09-02T00:00:00Z,0.355,ISRO_Oceansat2_OCM,1
11.0,80.0,2026-09-02T00:00:00Z,1.395,ISRO_Oceansat2_OCM,1
11.0,82.0,2026-09-02T00:00:00Z,0.494,ISRO_Oceansat2_OCM,1
11.0,84.0,2026-09-02T00:00:00Z,0.442,ISRO_Oceansat2_OCM,1
12.5,72.0,2026-09-02T00:00:00Z,0.447,ISRO_Oceansat2_OCM,1
12.5,74.0,2026-09-02T00:00:00Z,0.291,ISRO_Oceansat2_OCM,1
12.5,76.0,2026-09-02T00:00:00Z,0.573,ISRO_Oceansat2_OCM,1
12.5,78.0,2026-09-02T00:00:00Z,0.32,ISRO_Oceansat2_OCM,1
12.5,80.0,2026-09-02T00:00:00Z,0.431,ISRO_Oceansat2_OCM,1
12.5,82.0,2026-09-02T00:00:00Z,1.614,ISRO_Oceansat2_OCM,1
12.5,84.0,2026-09-02T00:00:00Z,0.295,ISRO_Oceansat2_OCM,1
14.0,72.0,2026-09-02T00:00:00Z,0.703,ISRO_Oceansat2_OCM,1
14.0,74.0,2026-09-02T00:00:00Z,1.249,ISRO_Oceansat2_OCM,1
14.0,76.0,2026-09-02T00:00:00Z,0.849,ISRO_Oceansat2_OCM,1
14.0,78.0,2026-09-02T00:00:00Z,0.572,ISRO_Oceansat2_OCM,1
14.0,80.0,2026-09-02T00:00:00Z,0.276,ISRO_Oceansat2_OCM,1
14.0,82.0,2026-09-02T00:00:00Z,0.825,ISRO_Oceansat2_OCM,1
14.0,84.0,2026-09-02T00:00:00Z,0.266,ISRO_Oceansat2_OCM,1
15.5,72.0,2026-09-02T00:00:00Z,0.258,ISRO_Oceansat2_OCM,1
15.5,74.0,2026-09-02T00:00:00Z,0.42,ISRO_Oceansat2_OCM,1
15.5,76.0,2026-09-02T00:00:00Z,1.745,ISRO_Oceansat2_OCM,1
15.5,78.0,2026-09-02T00:00:00Z,0.389,ISRO_Oceansat2_OCM,1
15.5,80.0,2026-09-02T00:00:00Z,0.581,ISRO_Oceansat2_OCM,1
15.5,82.0,2026-09-02T00:00:00Z,0.409,ISRO_Oceansat2_OCM,1
15.5,84.0,2026-09-02T00:00:00Z,0.308,ISRO_Oceansat2_OCM,1
17.0,72.0,2026-09-02T00:00:00Z,0.293,ISRO_Oceansat2_OCM,1
17.0,74.0,2026-09-02T00:00:00Z,0.891,ISRO_Oceansat2_OCM,1
17.0,76.0,2026-09-02T00:00:00Z,0.402,ISRO_Oceansat2_OCM,1
17.0,78.0,2026-09-02T00:00:00Z,0.879,ISRO_Oceansat2_OCM,1
17.0,80.0,2026-09-02T00:00:00Z,0.634,ISRO_Oceansat2_OCM,1
17.0,82.0,2026-09-02T00:00:00Z,1.898,ISRO_Oceansat2_OCM,1
17.0,84.0,2026-09-02T00:00:00Z,0.47,ISRO_Oceansat2_OCM,1
18.5,72.0,2026-09-02T00:00:00Z,0.315,ISRO_Oceansat2_OCM,1
18.5,74.0,2026-09-02T00:00:00Z,0.474,ISRO_Oceansat2_OCM,1
18.5,76.0,2026-09-02T00:00:00Z,0.759,ISRO_Oceansat2_OCM,1
18.5,78.0,2026-09-02T00:00:00Z,0.472,ISRO_Oceansat2_OCM,1
18.5,80.0,2026-09-02T00:00:00Z,0.52,ISRO_Oceansat2_OCM,1
18.5,82.0,2026-09-02T00:00:00Z,1.022,ISRO_Oceansat2_OCM,1
18.5,84.0,2026-09-02T00:00:00Z,0.691,ISRO_Oceansat2_OCM,1
8.0,72.0,2026-09-03T00:00:00Z,0.542,ISRO_Oceansat2_OCM,1
8.0,74.0,2026-09-03T00:00:00Z,1.126,ISRO_Oceansat2_OCM,1
8.0,76.0,2026-09-03T00:00:00Z,1.01,ISRO_Oceansat2_OCM,1
8.0,78.0,2026-09-03T00:00:00Z,0.756,ISRO_Oceansat2_OCM,1
8.0,80.0,2026-09-03T00:00:00Z,0.616,ISRO_Oceansat2_OCM,1
8.0,82.0,2026-09-03T00:00:00Z,1.281,ISRO_Oceansat2_OCM,1
8.0,84.0,2026-09-03T00:00:00Z,1.007,ISRO_Oceansat2_OCM,1
9.5,72.0,2026-09-03T00:00:00Z,0.455,ISRO_Oceansat2_OCM,1
9.5,74.0,2026-09-03T00:00:00Z,1.485,ISRO_Oceansat2_OCM,1
9.5,76.0,2026-09-03T00:00:00Z,0.842,ISRO_Oceansat2_OCM,1
9.5,78.0,2026-09-03T00:00:00Z,0.719,ISRO_Oceansat2_OCM,1
9.5,80.0,2026-09-03T00:00:00Z,0.348,ISRO_Oceansat2_OCM,1
9.5,82.0,2026-09-03T00:00:00Z,0.669,ISRO_Oceansat2_OCM,1
9.5,84.0,2026-09-03T00:00:00Z,0.379,ISRO_Oceansat2_OCM,1
11.0,72.0,2026-09-03T00:00:00Z,0.701,ISRO_Oceansat2_OCM,1
11.0,74.0,2026-09-03T00:00:00Z,0.351,ISRO_Oceansat2_OCM,1
11.0,76.0,2026-09-03T00:00:00Z,0.312,ISRO_Oceansat2_OCM,1
11.0,78.0,2026-09-03T00:00:00Z,0.654,ISRO_Oceansat2_OCM,1
11.0,80.0,2026-09-03T00:00:00Z,1.101,ISRO_Oceansat2_OCM,1
11.0,82.0,2026-09-03T00:00:00Z,0.302,ISRO_Oceansat2_OCM,1
11.0,84.0,2026-09-03T00:00:00Z,0.842,ISRO_Oceansat2_OCM,1
12.5,72.0,2026-09-03T00:00:00Z,0.412,ISRO_Oceansat2_OCM,1
12.5,74.0,2026-09-03T00:00:00Z,0.321,ISRO_Oceansat2_OCM,1
12.5,76.0,2026-09-03T00:00:00Z,0.582,ISRO_Oceansat2_OCM,1
12.5,78.0,2026-09-03T00:00:00Z,0.555,ISRO_Oceansat2_OCM,1
12.5,80.0,2026-09-03T00:00:00Z,0.473,ISRO_Oceansat2_OCM,1
12.5,82.0,2026-09-03T00:00:00Z,0.436,ISRO_Oceansat2_OCM,1
12.5,84.0,2026-09-03T00:00:00Z,0.502,ISRO_Oceansat2_OCM,1
14.0,72.0,2026-09-03T00:00:00Z,1.387,ISRO_Oceansat2_OCM,1
14.0,74.0,2026-09-03T00:00:00Z,0.335,ISRO_Oceansat2_OCM,1
14.0,76.0,2026-09-03T00:00:00Z,0.56,ISRO_Oceansat2_OCM,1
14.0,78.0,2026-09-03T00:00:00Z,0.641,ISRO_Oceansat2_OCM,1
14.0,80.0,2026-09-03T00:00:00Z,1.093,ISRO_Oceansat2_OCM,1
14.0,82.0,2026-09-03T00:00:00Z,0.257,ISRO_Oceansat2_OCM,1
14.0,84.0,2026-09-03T00:00:00Z,1.462,ISRO_Oceansat2_OCM,1
15.5,72.0,2026-09-03T00:00:00Z,0.4,ISRO_Oceansat2_OCM,1
15.5,74.0,2026-09-03T00:00:00Z,0.282,ISRO_Oceansat2_OCM,1
15.5,76.0,2026-09-03T00:00:00Z,0.502,ISRO_Oceansat2_OCM,1
15.5,78.0,2026-09-03T00:00:00Z,0.746,ISRO_Oceansat2_OCM,1
15.5,80.0,2026-09-03T00:00:00Z,0.968,ISRO_Oceansat2_OCM,1
15.5,82.0,2026-09-03T00:00:00Z,0.638,ISRO_Oceansat2_OCM,1
15.5,84.0,2026-09-03T00:00:00Z,1.12,ISRO_Oceansat2_OCM,1
17.0,72.0,2026-09-03T00:00:00Z,0.597,ISRO_Oceansat2_OCM,1
17.0,74.0,2026-09-03T00:00:00Z,0.547,ISRO_Oceansat2_OCM,1
17.0,76.0,2026-09-03T00:00:00Z,1.072,ISRO_Oceansat2_OCM,1
17.0,78.0,2026-09-03T00:00:00Z,0.54,ISRO_Oceansat2_OCM,1
17.0,80.0,2026-09-03T00:00:00Z,0.475,ISRO_Oceansat2_OCM,1
17.0,82.0,2026-09-03T00:00:00Z,0.507,ISRO_Oceansat2_OCM,1
17.0,84.0,2026-09-03T00:00:00Z,0.68,ISRO_Oceansat2_OCM,1
18.5,72.0,2026-09-03T00:00:00Z,0.647,ISRO_Oceansat2_OCM,1
18.5,74.0,2026-09-03T00:00:00Z,0.62,ISRO_Oceansat2_OCM,1
18.5,76.0,2026-09-03T00:00:00Z,0.348,ISRO_Oceansat2_OCM,1
18.5,78.0,2026-09-03T00:00:00Z,1.173,ISRO_Oceansat2_OCM,1
18.5,80.0,2026-09-03T00:00:00Z,0.38,ISRO_Oceansat2_OCM,1
18.5,82.0,2026-09-03T00:00:00Z,1.015,ISRO_Oceansat2_OCM,1
18.5,84.0,2026-09-03T00:00:00Z,0.767,ISRO_Oceansat2_OCM,1
8.0,72.0,2026-09-04T00:00:00Z,0.302,ISRO_Oceansat2_OCM,1
8.0,74.0,2026-09-04T00:00:00Z,0.317,ISRO_Oceansat2_OCM,1
8.0,76.0,2026-09-04T00:00:00Z,0.258,ISRO_Oceansat2_OCM,1
8.0,78.0,2026-09-04T00:00:00Z,0.355,ISRO_Oceansat2_OCM,1
8.0,80.0,2026-09-04T00:00:00Z,0.376,ISRO_Oceansat2_OCM,1
8.0,82.0,2026-09-04T00:00:00Z,0.45,ISRO_Oceansat2_OCM,1
8.0,84.0,2026-09-04T00:00:00Z,0.998,ISRO_Oceansat2_OCM,1
9.5,72.0,2026-09-04T00:00:00Z,0.402,ISRO_Oceansat2_OCM,1
9.5,74.0,2026-09-04T00:00:00Z,0.474,ISRO_Oceansat2_OCM,1
9.5,76.0,2026-09-04T00:00:00Z,0.295,ISRO_Oceansat2_OCM,1
9.5,78.0,2026-09-04T00:00:00Z,0.252,ISRO_Oceansat2_OCM,1
9.5,80.0,2026-09-04T00:00:00Z,0.794,ISRO_Oceansat2_OCM,1
9.5,82.0,2026-09-04T00:00:00Z,0.317,ISRO_Oceansat2_OCM,1
9.5,84.0,2026-09-04T00:00:00Z,0.288,ISRO_Oceansat2_OCM,1
11.0,72.0,2026-09-04T00:00:00Z,0.865,ISRO_Oceansat2_OCM,1
11.0,74.0,2026-09-04T00:00:00Z,0.73,ISRO_Oceansat2_OCM,1
11.0,76.0,2026-09-04T00:00:00Z,0.831,ISRO_Oceansat2_OCM,1
11.0,78.0,2026-09-04T00:00:00Z,0.28,ISRO_Oceansat2_OCM,1
11.0,80.0,2026-09-04T00:00:00Z,0.399,ISRO_Oceansat2_OCM,1
11.0,82.0,2026-09-04T00:00:00Z,0.637,ISRO_Oceansat2_OCM,1
11.0,84.0,2026-09-04T00:00:00Z,0.812,ISRO_Oceansat2_OCM,1
12.5,72.0,2026-09-04T00:00:00Z,0.919,ISRO_Oceansat2_OCM,1
12.5,74.0,2026-09-04T00:00:00Z,0.346,ISRO_Oceansat2_OCM,1
12.5,76.0,2026-09-04T00:00:00Z,0.475,ISRO_Oceansat2_OCM,1
12.5,78.0,2026-09-04T00:00:00Z,1.129,ISRO_Oceansat2_OCM,1
12.5,80.0,2026-09-04T00:00:00Z,0.466,ISRO_Oceansat2_OCM,1
12.5,82.0,2026-09-04T00:00:00Z,0.731,ISRO_Oceansat2_OCM,1
12.5,84.0,2026-09-04T00:00:00Z,1.004,ISRO_Oceansat2_OCM,1
14.0,72.0,2026-09-04T00:00:00Z,0.37,ISRO_Oceansat2_OCM,1
14.0,74.0,2026-09-04T00:00:00Z,0.655,ISRO_Oceansat2_OCM,1
14.0,76.0,2026-09-04T00:00:00Z,0.516,ISRO_Oceansat2_OCM,1
14.0,78.0,2026-09-04T00:00:00Z,0.324,ISRO_Oceansat2_OCM,1
14.0,80.0,2026-09-04T00:00:00Z,0.253,ISRO_Oceansat2_OCM,1
14.0,82.0,2026-09-04T00:00:00Z,1.037,ISRO_Oceansat2_OCM,1
14.0,84.0,2026-09-04T00:00:00Z,0.518,ISRO_Oceansat2_OCM,1
15.5,72.0,2026-09-04T00:00:00Z,0.279,ISRO_Oceansat2_OCM,1
15.5,74.0,2026-09-04T00:00:00Z,0.389,ISRO_Oceansat2_OCM,1
15.5,76.0,2026-09-04T00:00:00Z,0.269,ISRO_Oceansat2_OCM,1
15.5,78.0,2026-09-04T00:00:00Z,0.498,ISRO_Oceansat2_OCM,1
15.5,80.0,2026-09-04T00:00:00Z,2.411,ISRO_Oceansat2_OCM,1
15.5,82.0,2026-09-04T00:00:00Z,0.399,ISRO_Oceansat2_OCM,1
15.5,84.0,2026-09-04T00:00:00Z,0.508,ISRO_Oceansat2_OCM,1
17.0,72.0,2026-09-04T00:00:00Z,0.479,ISRO_Oceansat2_OCM,1
17.0,74.0,2026-09-04T00:00:00Z,0.485,ISRO_Oceansat2_OCM,1
17.0,76.0,2026-09-04T00:00:00Z,0.481,ISRO_Oceansat2_OCM,1
17.0,78.0,2026-09-04T00:00:00Z,1.199,ISRO_Oceansat2_OCM,1
17.0,80.0,2026-09-04T00:00:00Z,0.655,ISRO_Oceansat2_OCM,1
17.0,82.0,2026-09-04T00:00:00Z,0.416,ISRO_Oceansat2_OCM,1
17.0,84.0,2026-09-04T00:00:00Z,0.536,ISRO_Oceansat2_OCM,1
18.5,72.0,2026-09-04T00:00:00Z,0.338,ISRO_Oceansat2_OCM,1
18.5,74.0,2026-09-04T00:00:00Z,0.755,ISRO_Oceansat2_OCM,1
18.5,76.0,2026-09-04T00:00:00Z,0.685,ISRO_Oceansat2_OCM,1
18.5,78.0,2026-09-04T00:00:00Z,0.312,ISRO_Oceansat2_OCM,1
18.5,80.0,2026-09-04T00:00:00Z,0.36,ISRO_Oceansat2_OCM,1
18.5,82.0,2026-09-04T00:00:00Z,0.31,ISRO_Oceansat2_OCM,1
18.5,84.0,2026-09-04T00:00:00Z,0.823,ISRO_Oceansat2_OCM,1
8.0,72.0,2026-09-05T00:00:00Z,0.262,ISRO_Oceansat2_OCM,1
8.0,74.0,2026-09-05T00:00:00Z,0.835,ISRO_Oceansat2_OCM,1
8.0,76.0,2026-09-05T00:00:00Z,0.502,ISRO_Oceansat2_OCM,1
8.0,78.0,2026-09-05T00:00:00Z,0.826,ISRO_Oceansat2_OCM,1
8.0,80.0,2026-09-05T00:00:00Z,0.292,ISRO_Oceansat2_OCM,1
8.0,82.0,2026-09-05T00:00:00Z,0.473,ISRO_Oceansat2_OCM,1
8.0,84.0,2026-09-05T00:00:00Z,0.618,ISRO_Oceansat2_OCM,1
9.5,72.0,2026-09-05T00:00:00Z,0.331,ISRO_Oceansat2_OCM,1
9.5,74.0,2026-09-05T00:00:00Z,0.504,ISRO_Oceansat2_OCM,1
9.5,76.0,2026-09-05T00:00:00Z,0.52,ISRO_Oceansat2_OCM,1
9.5,78.0,2026-09-05T00:00:00Z,1.767,ISRO_Oceansat2_OCM,1
9.5,80.0,2026-09-05T00:00:00Z,0.389,ISRO_Oceansat2_OCM,1
9.5,82.0,2026-09-05T00:00:00Z,0.423,ISRO_Oceansat2_OCM,1
9.5,84.0,2026-09-05T00:00:00Z,0.324,ISRO_Oceansat2_OCM,1
11.0,72.0,2026-09-05T00:00:00Z,0.957,ISRO_Oceansat2_OCM,1
11.0,74.0,2026-09-05T00:00:00Z,0.36,ISRO_Oceansat2_OCM,1
11.0,76.0,2026-09-05T00:00:00Z,0.377,ISRO_Oceansat2_OCM,1
11.0,78.0,2026-09-05T00:00:00Z,0.593,ISRO_Oceansat2_OCM,1
11.0,80.0,2026-09-05T00:00:00Z,0.253,ISRO_Oceansat2_OCM,1
11.0,82.0,2026-09-05T00:00:00Z,0.533,ISRO_Oceansat2_OCM,1
11.0,84.0,2026-09-05T00:00:00Z,0.864,ISRO_Oceansat2_OCM,1
12.5,72.0,2026-09-05T00:00:00Z,0.305,ISRO_Oceansat2_OCM,1
12.5,74.0,2026-09-05T00:00:00Z,1.246,ISRO_Oceansat2_OCM,1
12.5,76.0,2026-09-05T00:00:00Z,0.263,ISRO_Oceansat2_OCM,1
12.5,78.0,2026-09-05T00:00:00Z,0.667,ISRO_Oceansat2_OCM,1
12.5,80.0,2026-09-05T00:00:00Z,0.786,ISRO_Oceansat2_OCM,1
12.5,82.0,2026-09-05T00:00:00Z,0.301,ISRO_Oceansat2_OCM,1
12.5,84.0,2026-09-05T00:00:00Z,0.615,ISRO_Oceansat2_OCM,1
14.0,72.0,2026-09-05T00:00:00Z,0.745,ISRO_Oceansat2_OCM,1
14.0,74.0,2026-09-05T00:00:00Z,1.157,ISRO_Oceansat2_OCM,1
14.0,76.0,2026-09-05T00:00:00Z,0.308,ISRO_Oceansat2_OCM,1
14.0,78.0,2026-09-05T00:00:00Z,2.209,ISRO_Oceansat2_OCM,1
14.0,80.0,2026-09-05T00:00:00Z,0.682,ISRO_Oceansat2_OCM,1
14.0,82.0,2026-09-05T00:00:00Z,0.693,ISRO_Oceansat2_OCM,1
14.0,84.0,2026-09-05T00:00:00Z,0.694,ISRO_Oceansat2_OCM,1
15.5,72.0,2026-09-05T00:00:00Z,0.298,ISRO_Oceansat2_OCM,1
15.5,74.0,2026-09-05T00:00:00Z,0.344,ISRO_Oceansat2_OCM,1
15.5,76.0,2026-09-05T00:00:00Z,0.384,ISRO_Oceansat2_OCM,1
15.5,78.0,2026-09-05T00:00:00Z,0.883,ISRO_Oceansat2_OCM,1
15.5,80.0,2026-09-05T00:00:00Z,0.719,ISRO_Oceansat2_OCM,1
15.5,82.0,2026-09-05T00:00:00Z,0.501,ISRO_Oceansat2_OCM,1
15.5,84.0,2026-09-05T00:00:00Z,1.624,ISRO_Oceansat2_OCM,1
17.0,72.0,2026-09-05T00:00:00Z,0.354,ISRO_Oceansat2_OCM,1
17.0,74.0,2026-09-05T00:00:00Z,0.728,ISRO_Oceansat2_OCM,1
17.0,76.0,2026-09-05T00:00:00Z,1.48,ISRO_Oceansat2_OCM,1
17.0,78.0,2026-09-05T00:00:00Z,0.312,ISRO_Oceansat2_OCM,1
17.0,80.0,2026-09-05T00:00:00Z,0.298,ISRO_Oceansat2_OCM,1
17.0,82.0,2026-09-05T00:00:00Z,0.295,ISRO_Oceansat2_OCM,1
17.0,84.0,2026-09-05T00:00:00Z,0.325,ISRO_Oceansat2_OCM,1
18.5,72.0,2026-09-05T00:00:00Z,0.338,ISRO_Oceansat2_OCM,1
18.5,74.0,2026-09-05T00:00:00Z,0.274,ISRO_Oceansat2_OCM,1
18.5,76.0,2026-09-05T00:00:00Z,0.41,ISRO_Oceansat2_OCM,1
18.5,78.0,2026-09-05T00:00:00Z,0.485,ISRO_Oceansat2_OCM,1
18.5,80.0,2026-09-05T00:00:00Z,0.538,ISRO_Oceansat2_OCM,1
18.5,82.0,2026-09-05T00:00:00Z,1.191,ISRO_Oceansat2_OCM,1
18.5,84.0,2026-09-05T00:00:00Z,0.645,ISRO_Oceansat2_OCM,1
